Edad,Edad Victima,Sexo,Año agresión,Lugar de residencia,Composicion del hogar,Grado de consanguinidad de persona a cargo,Numero de personas con quienes vive,Profesion persona a cargo,Nivel escolar,Rendimiento academico promedio,Antecedentes de maltrato familiar o escolar,Participa en actividades extracurriculares,Usa redes sociales activamente,Contacto de forma inapropiada en redes,Involucrado en otros incidentes de agresion,Conocia a la victima,Antecedentes penales o disciplinarios,Trastorno psicologico o adiccion,Atencion psicologica previa,Se siente arrepentido,Reconoce que su comportamiento fue incorrecto,Premeditado o impulsivo,Violencia fisica o amenazas,Actuo solo o con otras personas,Edad inicio consumo pornografico,Contenido violento o explicito en material
17,9,Masculino,2018,Barrios Unidos,Extendida,Padres,1,Desempleado,Tecnico,5,No,No,No,Si,No,Si,No,No,No,Si,No,Impulsivo,No,Solo,14,Si
16,8,Femenino,2024,La Candelaria,Nuclear,Padres,1,Obrero,Universitario,8,No,No,Si,Si,Si,No,No,Si,No,No,Si,Premeditado,No,Solo,11,Si
15,8,Femenino,2015,Rafael Uribe Uribe,Nuclear,Abuelos,7,Agricultor,Universitario,6,Si,Si,No,No,Si,No,No,Si,No,No,No,Premeditado,Si,Solo,6,No
13,12,Femenino,2016,Ciudad Bolivar,Extendida,Otros familiares,1,Obrero,Tecnico,8,Si,No,No,No,Si,No,No,No,No,No,Si,Impulsivo,No,Solo,8,No
15,12,Femenino,2017,Rafael Uribe Uribe,Nuclear,Abuelos,4,Obrero,Tecnico,5,No,No,Si,No,No,No,No,No,No,Si,No,Impulsivo,Si,Con otras personas,11,Si
15,13,Masculino,2021,Santa Fe,Nuclear,Tios,1,Empleado,Primaria,5,Si,No,Si,No,Si,No,Si,Si,Si,Si,No,Impulsivo,Si,Solo,11,Si
15,8,Femenino,2015,Kennedy,Nuclear,Abuelos,6,Obrero,Tecnico,5,No,Si,No,Si,No,Si,Si,No,No,No,No,Impulsivo,Si,Con otras personas,13,Si
16,7,Masculino,2019,Santa Fe,Monoparental,Padres,6,Independiente,Secundaria,4,No,Si,No,Si,No,No,No,No,Si,Si,Si,Premeditado,No,Solo,6,No
13,10,Femenino,2023,Suba,Extendida,Otros familiares,7,Ambulante,Tecnico,3,No,Si,No,No,Si,No,No,Si,Si,Si,Si,Premeditado,Si,Con otras personas,8,Si
14,10,Femenino,2016,Chapinero,Nuclear,Otros familiares,3,Independiente,Primaria,4,Si,Si,Si,No,Si,No,No,Si,No,Si,No,Impulsivo,No,Con otras personas,9,No
14,9,Femenino,2017,Fontibon,Nuclear,Otros familiares,7,Profesional,Secundaria,2,Si,No,No,No,No,No,Si,No,Si,No,Si,Premeditado,No,Solo,13,Si
15,8,Femenino,2017,Los Martires,Monoparental,Otros familiares,4,Ambulante,Universitario,7,No,Si,Si,Si,Si,Si,No,Si,Si,No,No,Premeditado,No,Con otras personas,11,Si
16,10,Femenino,2020,Los Martires,Extendida,Padres,2,Profesional,Secundaria,3,No,No,Si,No,Si,Si,Si,Si,Si,No,Si,Impulsivo,No,Con otras personas,6,No
14,13,Masculino,2016,Puente Aranda,Extendida,Hermanos,7,Independiente,Primaria,2,No,No,Si,No,Si,Si,No,No,No,No,Si,Impulsivo,No,Con otras personas,6,No
16,7,Masculino,2024,La Candelaria,Extendida,Padres,6,Agricultor,Primaria,8,No,Si,No,No,No,No,Si,Si,No,Si,Si,Premeditado,No,Solo,6,No
15,9,Masculino,2022,Kennedy,Nuclear,Abuelos,3,Profesional,Primaria,1,Si,No,Si,Si,No,Si,No,Si,No,No,Si,Impulsivo,Si,Con otras personas,9,No
14,11,Masculino,2023,San Cristobal,Monoparental,Hermanos,1,Independiente,Secundaria,9,No,Si,No,No,No,Si,No,Si,Si,Si,No,Premeditado,No,Con otras personas,11,No
16,13,Femenino,2023,Los Martires,Monoparental,Tios,1,Desempleado,Universitario,6,Si,No,Si,Si,No,No,No,No,No,Si,No,Premeditado,No,Con otras personas,11,No
13,11,Femenino,2023,Teusaquillo,Extendida,Abuelos,4,Agricultor,Universitario,3,No,No,No,Si,No,Si,Si,Si,Si,No,Si,Premeditado,Si,Con otras personas,14,No
13,10,Masculino,2024,Usaquen,Extendida,Hermanos,6,Profesional,Tecnico,4,No,Si,No,No,Si,Si,Si,No,No,Si,Si,Premeditado,No,Con otras personas,10,No
16,9,Femenino,2019,Sumapaz,Extendida,Padres,5,Desempleado,Tecnico,5,No,Si,No,Si,Si,No,No,No,Si,No,No,Impulsivo,Si,Solo,9,Si
17,9,Femenino,2017,Los Martires,Monoparental,Tios,1,Agricultor,Secundaria,8,Si,Si,Si,No,No,No,No,No,No,No,Si,Impulsivo,Si,Solo,13,No
17,12,Masculino,2017,Puente Aranda,Extendida,Tios,6,Agricultor,Primaria,4,No,No,Si,No,Si,Si,Si,No,Si,Si,No,Impulsivo,Si,Solo,8,Si
17,10,Femenino,2023,Kennedy,Nuclear,Hermanos,1,Empleado,Primaria,5,No,Si,No,Si,Si,No,No,No,No,No,Si,Premeditado,No,Con otras personas,13,Si
15,8,Femenino,2021,Los Martires,Monoparental,Hermanos,4,Independiente,Secundaria,5,No,Si,Si,Si,No,No,Si,No,Si,No,No,Premeditado,No,Solo,10,No
16,7,Femenino,2018,Rafael Uribe Uribe,Nuclear,Otros familiares,1,Desempleado,Tecnico,9,Si,No,No,Si,No,Si,No,No,Si,No,No,Premeditado,No,Con otras personas,6,Si
13,8,Masculino,2019,Chapinero,Monoparental,Tios,6,Independiente,Universitario,8,No,Si,No,Si,Si,Si,No,No,No,Si,Si,Premeditado,No,Solo,7,Si
15,13,Masculino,2016,Tunjuelito,Nuclear,Hermanos,6,Desempleado,Tecnico,5,Si,Si,No,No,No,Si,No,Si,Si,Si,No,Premeditado,Si,Con otras personas,6,No
13,7,Femenino,2017,Bosa,Monoparental,Otros familiares,7,Ambulante,Primaria,9,No,No,Si,Si,Si,No,No,No,Si,Si,No,Impulsivo,Si,Con otras personas,9,No
17,11,Femenino,2015,Antonio Narino,Extendida,Padres,7,Empleado,Universitario,5,No,No,No,Si,No,Si,Si,Si,No,No,No,Premeditado,No,Solo,6,Si
17,13,Masculino,2024,Suba,Monoparental,Tios,6,Independiente,Tecnico,7,Si,No,No,Si,No,Si,No,No,Si,No,Si,Premeditado,No,Con otras personas,8,Si
14,9,Masculino,2021,Chapinero,Extendida,Hermanos,3,Agricultor,Secundaria,3,Si,Si,No,Si,No,Si,No,No,No,Si,No,Impulsivo,No,Con otras personas,7,No
16,9,Femenino,2020,Sumapaz,Extendida,Tios,1,Independiente,Tecnico,9,Si,No,Si,Si,No,Si,Si,Si,Si,No,Si,Premeditado,No,Con otras personas,6,No
14,9,Femenino,2015,Santa Fe,Nuclear,Padres,3,Empleado,Tecnico,8,Si,Si,No,Si,Si,Si,Si,No,Si,Si,No,Impulsivo,No,Con otras personas,14,Si
15,10,Femenino,2023,Engativa,Extendida,Tios,2,Ambulante,Primaria,6,Si,Si,Si,No,No,Si,Si,No,No,No,No,Impulsivo,No,Con otras personas,8,No
15,9,Masculino,2023,La Candelaria,Extendida,Tios,1,Ambulante,Universitario,7,Si,Si,Si,No,No,Si,Si,No,No,Si,No,Premeditado,Si,Con otras personas,6,No
17,10,Femenino,2021,Los Martires,Extendida,Abuelos,7,Desempleado,Tecnico,3,Si,No,No,Si,Si,Si,No,No,No,Si,Si,Impulsivo,Si,Solo,9,No
13,10,Femenino,2017,Chapinero,Extendida,Hermanos,7,Ambulante,Universitario,7,Si,Si,Si,Si,Si,No,No,Si,Si,Si,Si,Impulsivo,No,Con otras personas,14,No
14,12,Femenino,2017,Teusaquillo,Monoparental,Hermanos,4,Profesional,Tecnico,9,No,Si,Si,No,Si,Si,Si,Si,No,Si,Si,Premeditado,Si,Con otras personas,14,Si
16,9,Femenino,2020,Engativa,Extendida,Hermanos,2,Ambulante,Universitario,9,No,No,No,Si,No,Si,Si,No,Si,No,Si,Premeditado,No,Con otras personas,7,Si
14,12,Femenino,2021,Usaquen,Monoparental,Otros familiares,6,Empleado,Universitario,9,Si,No,Si,Si,No,Si,No,Si,No,No,Si,Impulsivo,Si,Con otras personas,7,No
17,12,Femenino,2018,Usaquen,Extendida,Abuelos,1,Desempleado,Universitario,6,Si,Si,No,No,Si,No,Si,No,No,Si,Si,Impulsivo,Si,Solo,10,Si
13,10,Femenino,2021,Santa Fe,Nuclear,Padres,1,Profesional,Tecnico,9,Si,No,No,No,No,No,No,No,Si,Si,Si,Impulsivo,Si,Con otras personas,13,No
14,12,Masculino,2017,Antonio Narino,Monoparental,Otros familiares,6,Ambulante,Secundaria,9,Si,Si,Si,No,No,No,Si,No,No,No,No,Premeditado,No,Con otras personas,7,No
17,12,Femenino,2024,San Cristobal,Nuclear,Otros familiares,3,Independiente,Primaria,9,No,No,Si,Si,Si,Si,No,Si,Si,Si,Si,Premeditado,No,Solo,10,Si
14,7,Femenino,2018,Usme,Monoparental,Padres,1,Empleado,Tecnico,6,Si,Si,No,No,Si,No,No,No,No,No,Si,Impulsivo,No,Solo,7,Si
15,9,Femenino,2017,Los Martires,Nuclear,Hermanos,1,Empleado,Primaria,5,Si,Si,Si,No,No,Si,No,Si,Si,Si,Si,Impulsivo,No,Con otras personas,11,No
17,9,Masculino,2016,Barrios Unidos,Extendida,Abuelos,2,Desempleado,Primaria,9,No,Si,No,No,No,Si,Si,Si,Si,Si,Si,Premeditado,Si,Con otras personas,8,No
13,13,Femenino,2015,Fontibon,Extendida,Padres,4,Empleado,Universitario,8,Si,No,Si,Si,No,No,Si,Si,Si,Si,Si,Premeditado,Si,Solo,7,Si
15,7,Masculino,2016,Kennedy,Nuclear,Tios,6,Profesional,Universitario,1,Si,Si,No,No,Si,Si,Si,No,Si,No,Si,Premeditado,Si,Solo,12,Si
15,9,Femenino,2024,Ciudad Bolivar,Extendida,Tios,3,Empleado,Secundaria,5,No,No,Si,Si,No,No,No,Si,No,No,No,Impulsivo,Si,Solo,9,No
13,9,Femenino,2019,Santa Fe,Extendida,Padres,6,Agricultor,Tecnico,8,Si,Si,No,No,No,Si,Si,No,No,No,Si,Premeditado,No,Solo,9,Si
16,7,Masculino,2015,Engativa,Monoparental,Padres,4,Agricultor,Secundaria,3,Si,Si,Si,No,No,No,No,Si,No,No,Si,Premeditado,Si,Con otras personas,11,Si
13,10,Masculino,2020,San Cristobal,Extendida,Hermanos,4,Independiente,Tecnico,9,No,Si,No,No,Si,No,Si,Si,No,No,No,Premeditado,Si,Con otras personas,6,Si
14,13,Masculino,2024,Santa Fe,Monoparental,Padres,6,Empleado,Universitario,5,No,No,Si,Si,No,No,Si,No,No,Si,No,Impulsivo,Si,Solo,6,No
13,8,Femenino,2015,Usaquen,Nuclear,Abuelos,3,Obrero,Universitario,9,Si,No,Si,No,Si,No,Si,Si,No,No,No,Impulsivo,Si,Con otras personas,10,Si
15,7,Femenino,2023,Teusaquillo,Nuclear,Hermanos,6,Agricultor,Secundaria,7,Si,Si,Si,Si,No,No,No,No,No,No,No,Premeditado,Si,Con otras personas,7,Si
16,10,Masculino,2019,Bosa,Monoparental,Padres,2,Desempleado,Tecnico,2,No,Si,Si,No,No,No,No,Si,No,Si,No,Premeditado,Si,Solo,7,No
16,11,Femenino,2017,Bosa,Nuclear,Hermanos,2,Independiente,Universitario,8,No,Si,No,No,No,No,No,Si,No,Si,Si,Premeditado,Si,Solo,7,Si
15,7,Masculino,2018,Puente Aranda,Monoparental,Tios,2,Desempleado,Primaria,5,No,No,No,No,Si,No,No,No,Si,No,No,Premeditado,Si,Con otras personas,8,Si
14,7,Masculino,2024,Teusaquillo,Extendida,Abuelos,6,Desempleado,Universitario,8,No,No,Si,Si,No,Si,Si,Si,No,No,Si,Premeditado,Si,Solo,8,Si
17,13,Masculino,2019,Ciudad Bolivar,Nuclear,Abuelos,1,Desempleado,Primaria,1,Si,No,No,Si,No,No,Si,No,Si,Si,No,Premeditado,No,Con otras personas,13,Si
14,7,Masculino,2021,La Candelaria,Nuclear,Padres,4,Desempleado,Tecnico,1,No,No,Si,Si,No,Si,Si,Si,No,No,Si,Premeditado,Si,Con otras personas,14,No
15,10,Femenino,2016,Bosa,Nuclear,Hermanos,4,Profesional,Tecnico,9,Si,No,Si,No,Si,Si,No,No,No,No,Si,Premeditado,Si,Solo,14,Si
14,10,Femenino,2020,Kennedy,Monoparental,Hermanos,7,Ambulante,Tecnico,4,Si,No,Si,Si,No,No,Si,Si,Si,Si,No,Premeditado,No,Solo,9,No
13,8,Femenino,2019,Puente Aranda,Monoparental,Hermanos,4,Profesional,Universitario,1,No,Si,Si,No,Si,Si,Si,No,Si,No,Si,Premeditado,Si,Con otras personas,8,Si
16,11,Masculino,2024,Antonio Narino,Nuclear,Abuelos,6,Obrero,Universitario,3,No,Si,No,Si,Si,Si,Si,Si,No,No,No,Premeditado,Si,Con otras personas,8,No
16,13,Femenino,2016,Los Martires,Monoparental,Padres,7,Empleado,Tecnico,7,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Premeditado,Si,Con otras personas,9,No
13,9,Femenino,2022,Puente Aranda,Monoparental,Tios,2,Desempleado,Tecnico,6,Si,No,Si,No,Si,Si,No,No,Si,No,No,Premeditado,Si,Solo,9,No
17,13,Masculino,2018,Ciudad Bolivar,Monoparental,Otros familiares,4,Desempleado,Primaria,4,No,Si,Si,No,No,Si,No,Si,Si,No,No,Impulsivo,No,Solo,13,No
17,10,Masculino,2018,Kennedy,Nuclear,Tios,4,Desempleado,Secundaria,8,No,Si,Si,Si,Si,No,Si,Si,No,Si,No,Impulsivo,Si,Con otras personas,11,No
15,8,Masculino,2021,Santa Fe,Extendida,Abuelos,6,Empleado,Universitario,4,No,Si,Si,Si,No,Si,Si,Si,No,No,No,Impulsivo,Si,Con otras personas,13,No
13,13,Masculino,2023,Teusaquillo,Monoparental,Padres,7,Empleado,Primaria,7,Si,No,Si,Si,Si,Si,Si,Si,No,No,No,Impulsivo,Si,Con otras personas,12,Si
13,8,Masculino,2023,Santa Fe,Extendida,Tios,6,Obrero,Tecnico,1,Si,No,No,No,No,No,Si,Si,No,Si,Si,Premeditado,Si,Solo,8,Si
14,12,Femenino,2018,Chapinero,Extendida,Tios,6,Empleado,Universitario,3,Si,Si,Si,Si,Si,No,No,No,No,No,Si,Impulsivo,Si,Solo,8,No
14,12,Masculino,2017,Santa Fe,Monoparental,Hermanos,2,Profesional,Universitario,6,Si,Si,Si,No,Si,Si,No,No,No,No,No,Impulsivo,Si,Solo,9,Si
13,7,Masculino,2019,Tunjuelito,Nuclear,Tios,6,Profesional,Primaria,2,Si,No,Si,No,No,No,Si,No,Si,Si,No,Impulsivo,Si,Con otras personas,10,Si
14,8,Masculino,2024,Fontibon,Nuclear,Otros familiares,2,Obrero,Primaria,8,No,Si,No,Si,No,Si,Si,No,Si,No,Si,Impulsivo,No,Con otras personas,14,Si
16,7,Masculino,2018,Santa Fe,Monoparental,Padres,7,Empleado,Secundaria,9,Si,Si,No,No,No,No,Si,No,Si,No,No,Impulsivo,Si,Con otras personas,6,Si
15,8,Masculino,2022,Ciudad Bolivar,Monoparental,Abuelos,1,Ambulante,Primaria,1,No,No,No,Si,Si,Si,No,Si,No,No,No,Premeditado,No,Solo,7,Si
15,8,Femenino,2019,Suba,Monoparental,Hermanos,4,Obrero,Primaria,8,No,No,Si,No,Si,No,Si,Si,Si,No,Si,Premeditado,No,Con otras personas,14,Si
17,8,Femenino,2024,Antonio Narino,Nuclear,Otros familiares,5,Ambulante,Universitario,4,No,No,Si,No,No,Si,Si,Si,Si,Si,Si,Premeditado,No,Solo,8,No
13,11,Masculino,2021,Barrios Unidos,Monoparental,Otros familiares,3,Profesional,Primaria,5,No,Si,No,No,Si,Si,Si,No,No,Si,Si,Impulsivo,Si,Con otras personas,8,No
13,8,Femenino,2017,Ciudad Bolivar,Extendida,Otros familiares,7,Empleado,Secundaria,8,Si,No,Si,No,No,No,Si,Si,Si,No,No,Impulsivo,Si,Con otras personas,8,Si
15,8,Masculino,2020,La Candelaria,Extendida,Padres,2,Ambulante,Secundaria,9,No,Si,Si,No,Si,No,No,Si,No,No,Si,Premeditado,Si,Solo,12,No
17,8,Masculino,2021,Barrios Unidos,Extendida,Abuelos,6,Agricultor,Tecnico,1,Si,No,No,No,Si,No,No,No,Si,Si,No,Premeditado,Si,Solo,8,Si
17,8,Femenino,2024,Sumapaz,Monoparental,Hermanos,4,Empleado,Universitario,7,No,Si,Si,No,Si,Si,No,No,No,No,No,Impulsivo,Si,Con otras personas,14,Si
16,12,Masculino,2018,Los Martires,Extendida,Abuelos,7,Empleado,Primaria,5,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,Impulsivo,No,Con otras personas,8,Si
14,10,Masculino,2021,Tunjuelito,Extendida,Abuelos,6,Desempleado,Secundaria,2,No,Si,Si,No,Si,No,No,Si,Si,Si,No,Impulsivo,Si,Con otras personas,14,Si
13,8,Masculino,2017,Suba,Nuclear,Tios,4,Agricultor,Tecnico,8,Si,No,Si,No,Si,Si,No,No,Si,Si,No,Impulsivo,Si,Con otras personas,6,No
14,10,Femenino,2019,Santa Fe,Monoparental,Abuelos,7,Independiente,Secundaria,4,No,Si,No,Si,Si,Si,Si,No,Si,Si,Si,Impulsivo,No,Con otras personas,11,Si
16,13,Masculino,2016,Bosa,Nuclear,Abuelos,5,Desempleado,Tecnico,6,Si,Si,Si,No,No,No,No,Si,No,No,Si,Premeditado,No,Con otras personas,8,Si
17,10,Masculino,2015,Fontibon,Extendida,Abuelos,4,Obrero,Primaria,8,No,No,No,Si,Si,No,No,No,Si,Si,No,Premeditado,No,Solo,8,No
14,10,Masculino,2020,Fontibon,Nuclear,Abuelos,7,Ambulante,Secundaria,9,Si,No,Si,Si,Si,Si,Si,No,No,No,No,Impulsivo,Si,Con otras personas,13,No
14,13,Masculino,2019,Sumapaz,Extendida,Abuelos,6,Ambulante,Secundaria,8,Si,Si,Si,No,No,Si,No,No,No,No,No,Impulsivo,No,Solo,8,No
16,7,Masculino,2019,Rafael Uribe Uribe,Extendida,Otros familiares,6,Independiente,Universitario,3,Si,No,Si,No,No,No,No,Si,No,No,Si,Impulsivo,No,Solo,13,Si
16,9,Femenino,2020,La Candelaria,Monoparental,Otros familiares,6,Empleado,Tecnico,9,No,Si,No,No,No,No,No,Si,No,No,No,Impulsivo,Si,Solo,6,Si
13,7,Masculino,2022,Teusaquillo,Monoparental,Padres,2,Obrero,Tecnico,4,No,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Premeditado,Si,Con otras personas,11,No
13,9,Femenino,2024,Usaquen,Extendida,Hermanos,1,Ambulante,Tecnico,2,No,No,Si,No,No,Si,Si,No,Si,Si,No,Impulsivo,Si,Con otras personas,8,Si
16,11,Femenino,2017,Los Martires,Extendida,Tios,4,Agricultor,Tecnico,2,Si,Si,No,No,No,Si,Si,No,No,No,Si,Premeditado,No,Solo,10,Si
15,11,Masculino,2019,Fontibon,Monoparental,Otros familiares,3,Independiente,Secundaria,5,No,Si,Si,Si,Si,No,No,Si,Si,No,No,Impulsivo,Si,Solo,10,Si
16,7,Masculino,2019,Kennedy,Nuclear,Otros familiares,7,Desempleado,Universitario,8,No,Si,Si,Si,No,Si,No,Si,No,No,No,Impulsivo,No,Solo,6,Si
16,12,Femenino,2020,Tunjuelito,Extendida,Otros familiares,5,Desempleado,Tecnico,9,Si,No,Si,Si,Si,Si,No,No,Si,No,No,Impulsivo,Si,Con otras personas,12,Si
14,10,Masculino,2023,Suba,Monoparental,Padres,3,Empleado,Primaria,5,Si,No,Si,Si,No,No,Si,Si,Si,Si,No,Premeditado,No,Con otras personas,11,Si
17,8,Masculino,2017,Chapinero,Monoparental,Tios,4,Empleado,Tecnico,7,Si,No,No,No,No,No,Si,Si,Si,No,Si,Impulsivo,No,Con otras personas,11,Si
15,7,Masculino,2019,Fontibon,Nuclear,Otros familiares,1,Desempleado,Secundaria,8,No,No,No,No,No,No,Si,Si,Si,No,Si,Premeditado,No,Con otras personas,12,Si
13,10,Masculino,2018,Fontibon,Monoparental,Tios,4,Desempleado,Universitario,5,Si,No,No,No,No,No,No,No,Si,Si,Si,Premeditado,No,Solo,14,Si
17,13,Femenino,2016,Kennedy,Extendida,Otros familiares,2,Empleado,Universitario,1,No,Si,No,No,No,No,No,No,Si,Si,Si,Premeditado,No,Solo,14,No
13,10,Femenino,2019,Usaquen,Monoparental,Abuelos,6,Agricultor,Universitario,5,No,No,Si,No,Si,No,No,No,Si,Si,No,Premeditado,Si,Solo,11,No
16,13,Femenino,2023,San Cristobal,Nuclear,Hermanos,1,Empleado,Primaria,4,No,Si,No,No,Si,No,No,Si,No,No,No,Premeditado,Si,Con otras personas,8,No
13,8,Masculino,2022,Kennedy,Extendida,Abuelos,4,Empleado,Universitario,2,No,Si,Si,Si,No,Si,Si,No,No,Si,No,Impulsivo,Si,Con otras personas,9,Si
17,12,Femenino,2020,Sumapaz,Monoparental,Hermanos,2,Agricultor,Universitario,5,No,No,No,Si,Si,Si,No,Si,Si,No,No,Impulsivo,Si,Con otras personas,9,Si
16,11,Masculino,2023,Los Martires,Nuclear,Otros familiares,1,Agricultor,Secundaria,2,No,No,Si,No,Si,Si,No,No,No,No,Si,Impulsivo,Si,Con otras personas,9,Si
16,8,Femenino,2023,Usaquen,Monoparental,Tios,1,Ambulante,Primaria,2,No,Si,No,No,No,No,No,Si,No,Si,No,Impulsivo,No,Solo,8,No
13,13,Femenino,2016,Puente Aranda,Monoparental,Hermanos,7,Independiente,Tecnico,8,Si,Si,Si,Si,No,Si,Si,No,Si,Si,Si,Premeditado,No,Con otras personas,9,No
15,13,Masculino,2020,Barrios Unidos,Monoparental,Padres,2,Agricultor,Secundaria,6,Si,No,No,Si,Si,No,Si,Si,No,Si,No,Premeditado,No,Con otras personas,10,Si
17,10,Femenino,2019,Fontibon,Monoparental,Tios,5,Ambulante,Secundaria,4,Si,Si,No,Si,Si,Si,No,Si,No,No,No,Impulsivo,No,Solo,14,Si
17,8,Masculino,2021,San Cristobal,Nuclear,Padres,1,Ambulante,Primaria,1,Si,Si,Si,No,No,Si,Si,No,No,No,No,Premeditado,Si,Con otras personas,8,No
17,12,Femenino,2016,Tunjuelito,Nuclear,Tios,4,Profesional,Universitario,2,No,No,No,Si,Si,No,No,Si,No,No,No,Premeditado,No,Solo,6,Si
14,13,Masculino,2017,Usme,Monoparental,Tios,5,Agricultor,Universitario,5,No,Si,Si,No,Si,Si,No,Si,No,No,No,Premeditado,Si,Con otras personas,9,Si
16,13,Femenino,2022,Los Martires,Monoparental,Padres,6,Independiente,Secundaria,5,Si,Si,Si,Si,No,Si,Si,Si,No,No,No,Premeditado,No,Solo,12,Si
15,7,Femenino,2019,Tunjuelito,Extendida,Padres,7,Obrero,Tecnico,7,Si,No,Si,Si,Si,No,Si,Si,Si,No,Si,Impulsivo,No,Con otras personas,10,Si
17,11,Femenino,2016,Teusaquillo,Nuclear,Otros familiares,2,Profesional,Tecnico,3,Si,No,No,No,No,Si,No,No,Si,Si,Si,Impulsivo,No,Solo,9,No
17,8,Femenino,2015,Sumapaz,Nuclear,Tios,4,Profesional,Tecnico,1,No,Si,No,Si,No,Si,No,Si,No,No,No,Premeditado,Si,Solo,7,Si
13,10,Masculino,2015,San Cristobal,Nuclear,Padres,2,Agricultor,Universitario,5,Si,Si,Si,Si,Si,Si,No,No,No,Si,Si,Premeditado,No,Con otras personas,7,No
14,9,Femenino,2016,Usme,Nuclear,Abuelos,6,Empleado,Tecnico,9,No,No,No,Si,Si,Si,No,No,No,Si,No,Impulsivo,Si,Solo,14,No
17,8,Masculino,2018,Chapinero,Monoparental,Abuelos,1,Desempleado,Secundaria,3,Si,Si,No,No,No,Si,No,No,Si,Si,No,Premeditado,Si,Con otras personas,14,No
16,7,Masculino,2023,Kennedy,Monoparental,Otros familiares,2,Ambulante,Secundaria,1,Si,No,Si,No,Si,Si,Si,No,No,No,No,Premeditado,No,Solo,10,No
14,10,Masculino,2022,Bosa,Extendida,Tios,4,Profesional,Tecnico,5,No,Si,No,No,Si,Si,Si,Si,Si,No,No,Premeditado,No,Solo,9,No
14,9,Femenino,2022,Santa Fe,Monoparental,Hermanos,1,Obrero,Secundaria,9,Si,No,No,No,No,No,No,Si,Si,No,Si,Impulsivo,Si,Solo,11,Si
17,8,Femenino,2018,Ciudad Bolivar,Nuclear,Hermanos,2,Desempleado,Tecnico,8,Si,Si,Si,No,Si,Si,No,Si,Si,No,Si,Premeditado,Si,Solo,8,Si
17,11,Femenino,2019,San Cristobal,Extendida,Otros familiares,5,Profesional,Universitario,8,Si,Si,No,Si,Si,Si,No,Si,Si,Si,No,Premeditado,Si,Solo,11,No
16,11,Femenino,2023,Puente Aranda,Nuclear,Otros familiares,6,Empleado,Secundaria,7,Si,Si,No,Si,No,Si,No,Si,No,Si,Si,Impulsivo,Si,Solo,9,Si
16,12,Femenino,2024,Engativa,Monoparental,Otros familiares,6,Desempleado,Secundaria,2,No,Si,Si,No,No,No,Si,Si,Si,Si,Si,Premeditado,Si,Con otras personas,9,Si
15,10,Masculino,2022,Santa Fe,Nuclear,Hermanos,4,Ambulante,Secundaria,6,No,No,No,No,No,No,Si,Si,Si,Si,Si,Premeditado,No,Solo,9,Si
17,13,Masculino,2015,Bosa,Extendida,Padres,7,Ambulante,Secundaria,1,Si,No,No,Si,Si,No,Si,No,Si,Si,No,Impulsivo,Si,Solo,8,No
15,11,Masculino,2015,La Candelaria,Monoparental,Otros familiares,3,Ambulante,Universitario,3,No,No,No,No,No,No,Si,Si,Si,Si,Si,Impulsivo,No,Con otras personas,6,Si
16,11,Masculino,2015,Ciudad Bolivar,Monoparental,Padres,3,Ambulante,Universitario,1,No,Si,No,No,No,No,Si,No,No,Si,No,Premeditado,No,Con otras personas,7,No
16,9,Masculino,2021,Teusaquillo,Monoparental,Hermanos,4,Desempleado,Secundaria,9,No,Si,No,Si,Si,Si,No,No,Si,Si,No,Premeditado,Si,Con otras personas,9,No
17,11,Masculino,2017,Fontibon,Nuclear,Padres,7,Empleado,Primaria,4,No,Si,Si,Si,Si,No,No,No,No,No,Si,Impulsivo,No,Con otras personas,13,Si
17,13,Femenino,2017,Antonio Narino,Extendida,Tios,2,Obrero,Universitario,2,No,Si,No,No,No,No,Si,No,No,No,No,Impulsivo,Si,Con otras personas,14,Si
14,11,Femenino,2024,Santa Fe,Monoparental,Tios,5,Desempleado,Secundaria,8,No,Si,Si,Si,No,No,Si,No,Si,No,Si,Impulsivo,No,Solo,6,Si
15,7,Femenino,2017,Tunjuelito,Extendida,Padres,3,Desempleado,Tecnico,6,Si,Si,Si,No,Si,Si,Si,No,No,No,No,Impulsivo,Si,Con otras personas,11,No
15,11,Masculino,2016,Bosa,Extendida,Padres,2,Empleado,Primaria,3,Si,No,No,No,No,No,Si,Si,Si,Si,No,Impulsivo,Si,Con otras personas,7,No
15,9,Masculino,2016,Barrios Unidos,Nuclear,Otros familiares,5,Empleado,Primaria,8,No,Si,Si,No,No,Si,Si,Si,No,Si,Si,Premeditado,Si,Con otras personas,12,No
15,8,Masculino,2016,Rafael Uribe Uribe,Extendida,Padres,2,Ambulante,Tecnico,8,No,No,Si,Si,No,No,Si,Si,No,Si,No,Premeditado,Si,Solo,11,Si
16,9,Masculino,2016,Rafael Uribe Uribe,Extendida,Padres,1,Ambulante,Secundaria,3,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Impulsivo,Si,Solo,12,Si
17,8,Femenino,2019,Los Martires,Extendida,Padres,5,Desempleado,Universitario,4,No,No,No,No,No,No,Si,No,No,No,Si,Premeditado,Si,Con otras personas,9,No
13,10,Masculino,2019,Usme,Nuclear,Hermanos,2,Empleado,Primaria,2,Si,Si,Si,No,No,No,Si,Si,No,Si,No,Premeditado,No,Con otras personas,7,No
